,Dispatching_base_num,Pickup_date,locationID
551,B00013,2015-02-03 03:43:00,
552,B00013,2015-02-03 04:15:00,
553,B00013,2015-02-03 04:30:00,
554,B00013,2015-02-03 04:30:00,
555,B00013,2015-02-03 04:30:00,
556,B00013,2015-02-03 04:44:00,
557,B00013,2015-02-03 04:45:00,
558,B00013,2015-02-03 04:45:00,
559,B00013,2015-02-03 04:45:00,
560,B00013,2015-02-03 05:00:00,
561,B00013,2015-02-03 05:15:00,
562,B00013,2015-02-03 05:15:00,
563,B00013,2015-02-03 05:30:00,
564,B00013,2015-02-03 05:30:00,
565,B00013,2015-02-03 05:30:00,
566,B00013,2015-02-03 05:30:00,
567,B00013,2015-02-03 05:30:00,
568,B00013,2015-02-03 05:33:00,
569,B00013,2015-02-03 06:00:00,
570,B00013,2015-02-03 06:00:00,
571,B00013,2015-02-03 06:00:00,
572,B00013,2015-02-03 06:00:00,
573,B00013,2015-02-03 06:00:00,
574,B00013,2015-02-03 06:05:00,
575,B00013,2015-02-03 06:15:00,
576,B00013,2015-02-03 06:16:00,
577,B00013,2015-02-03 06:18:00,
578,B00013,2015-02-03 06:30:00,
579,B00013,2015-02-03 06:30:00,
580,B00013,2015-02-03 06:30:00,
581,B00013,2015-02-03 06:30:00,
582,B00013,2015-02-03 06:30:00,
583,B00013,2015-02-03 06:39:00,
584,B00013,2015-02-03 06:40:00,
585,B00013,2015-02-03 06:41:00,
586,B00013,2015-02-03 06:45:00,
587,B00013,2015-02-03 06:53:00,
588,B00013,2015-02-03 06:56:00,
589,B00013,2015-02-03 06:58:00,
590,B00013,2015-02-03 07:30:00,
591,B00013,2015-02-03 07:30:00,
592,B00013,2015-02-03 07:45:00,
593,B00013,2015-02-03 08:00:00,
594,B00013,2015-02-03 08:01:00,
595,B00013,2015-02-03 08:05:00,
596,B00013,2015-02-03 08:11:00,
597,B00013,2015-02-03 08:11:00,
598,B00013,2015-02-03 08:15:00,
599,B00013,2015-02-03 08:15:00,
600,B00013,2015-02-03 08:15:00,
601,B00013,2015-02-03 08:24:00,
602,B00013,2015-02-03 08:30:00,
603,B00013,2015-02-03 08:30:00,
604,B00013,2015-02-03 08:30:00,
605,B00013,2015-02-03 08:30:00,
606,B00013,2015-02-03 08:40:00,
607,B00013,2015-02-03 08:44:00,
608,B00013,2015-02-03 08:45:00,
609,B00013,2015-02-03 08:45:00,
610,B00013,2015-02-03 09:00:00,
611,B00013,2015-02-03 09:00:00,
612,B00013,2015-02-03 09:15:00,
613,B00013,2015-02-03 09:15:00,
614,B00013,2015-02-03 09:19:00,
615,B00013,2015-02-03 09:19:00,
616,B00013,2015-02-03 09:24:00,
617,B00013,2015-02-03 09:26:00,
618,B00013,2015-02-03 09:30:00,
619,B00013,2015-02-03 09:30:00,
620,B00013,2015-02-03 09:30:00,
621,B00013,2015-02-03 09:30:00,
622,B00013,2015-02-03 09:40:00,
623,B00013,2015-02-03 09:52:00,
624,B00013,2015-02-03 10:00:00,
625,B00013,2015-02-03 10:00:00,
626,B00013,2015-02-03 10:00:00,
627,B00013,2015-02-03 10:00:00,
628,B00013,2015-02-03 10:01:00,
629,B00013,2015-02-03 10:13:00,
630,B00013,2015-02-03 10:15:00,
631,B00013,2015-02-03 10:30:00,
632,B00013,2015-02-03 10:35:00,
633,B00013,2015-02-03 11:03:00,
634,B00013,2015-02-03 11:11:00,
635,B00013,2015-02-03 11:19:00,
636,B00013,2015-02-03 11:20:00,
637,B00013,2015-02-03 11:30:00,
638,B00013,2015-02-03 11:30:00,
639,B00013,2015-02-03 11:32:00,
640,B00013,2015-02-03 11:36:00,
641,B00013,2015-02-03 11:45:00,
642,B00013,2015-02-03 11:55:00,
643,B00013,2015-02-03 11:55:00,
644,B00013,2015-02-03 11:56:00,
645,B00013,2015-02-03 12:15:00,
646,B00013,2015-02-03 12:15:00,
647,B00013,2015-02-03 12:18:00,
648,B00013,2015-02-03 12:20:00,
649,B00013,2015-02-03 12:20:00,
650,B00013,2015-02-03 12:20:00,
651,B00013,2015-02-03 12:30:00,
652,B00013,2015-02-03 12:45:00,
653,B00013,2015-02-03 12:56:00,
654,B00013,2015-02-03 13:00:00,
655,B00013,2015-02-03 13:00:00,
656,B00013,2015-02-03 13:06:00,
657,B00013,2015-02-03 13:10:00,
658,B00013,2015-02-03 13:13:00,
659,B00013,2015-02-03 13:14:00,
660,B00013,2015-02-03 13:15:00,
661,B00013,2015-02-03 13:16:00,
662,B00013,2015-02-03 13:16:00,
663,B00013,2015-02-03 13:20:00,
664,B00013,2015-02-03 13:30:00,
665,B00013,2015-02-03 13:34:00,
666,B00013,2015-02-03 13:45:00,
667,B00013,2015-02-03 13:54:00,
668,B00013,2015-02-03 14:00:00,
669,B00013,2015-02-03 14:00:00,
670,B00013,2015-02-03 14:00:00,
671,B00013,2015-02-03 14:00:00,
672,B00013,2015-02-03 14:10:00,
673,B00013,2015-02-03 14:15:00,
674,B00013,2015-02-03 14:15:00,
675,B00013,2015-02-03 14:22:00,
676,B00013,2015-02-03 14:30:00,
677,B00013,2015-02-03 14:30:00,
678,B00013,2015-02-03 14:30:00,
679,B00013,2015-02-03 14:30:00,
680,B00013,2015-02-03 14:33:00,
681,B00013,2015-02-03 14:39:00,
682,B00013,2015-02-03 14:41:00,
683,B00013,2015-02-03 14:45:00,
684,B00013,2015-02-03 14:53:00,
685,B00013,2015-02-03 15:00:00,
686,B00013,2015-02-03 15:00:00,
687,B00013,2015-02-03 15:00:00,
688,B00013,2015-02-03 15:00:00,
689,B00013,2015-02-03 15:05:00,
690,B00013,2015-02-03 15:05:00,
691,B00013,2015-02-03 15:25:00,
692,B00013,2015-02-03 15:30:00,
